"Employed people, Australia, August 1966 to August 2024, Seasonally adjusted"
,"Persons ('000)","Males ('000)","Females ('000)"
"Apr-23","13,922.7","7,261.5","6,661.2"
"May-23","14,004.9","7,308.2","6,696.7"
"Jun-23","14,025.9","7,324.3","6,701.6"
"Jul-23","14,007.5","7,331.8","6,675.7"
"Aug-23","14,084.4","7,369.1","6,715.4"
"Sep-23","14,096.4","7,350.8","6,745.6"
"Oct-23","14,148.4","7,366.6","6,781.8"
"Nov-23","14,207.2","7,404.9","6,802.3"
"Dec-23","14,147.7","7,377.5","6,770.2"
"Jan-24","14,149.8","7,370.8","6,779.0"
"Feb-24","14,263.1","7,430.1","6,833.0"
"Mar-24","14,253.1","7,434.6","6,818.5"
"Apr-24","14,282.1","7,437.6","6,844.5"
"May-24","14,315.5","7,474.8","6,840.7"
"Jun-24","14,362.2","7,498.0","6,864.3"
"Jul-24","14,411.1","7,504.9","6,906.3"
"Aug-24","14,458.6","7,541.3","6,917.3"

"February 1978 to August 2024 estimated monthly, before February 1978 estimated quarterly"
"Source: 6204.0.55.001 Labour Force Historical Timeseries, Australia, 1966-1984, Seasonally adjusted estimates of the labour force by sex and marital status - 1966-1977 and 6202.0 Labour Force, Australia, Table 1"

"Source: Australian Bureau of Statistics, Labour Force, Australia August 2024"
