"January 2023 - Trend"
,"New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory","Australia"
"Employed people","4,310,400","3,507,000","2,797,400","926,200","1,512,500","289,200","142,500","259,400","13,753,200"
"Employed people - monthly change","0.2%","0.0%","0.2%","0.2%","0.1%","0.1%","0.4%","0.2%","0.1%"
"Employment to population ratio","64.2%","64.0%","63.9%","61.1%","66.4%","60.0%","71.6%","69.8%","64.2%"
"Employment to population ratio - monthly change","0.0 pts","-0.1 pts","0.0 pts","0.0 pts","0.0 pts","-0.1 pts","0.1 pts","0.0 pts","-0.1 pts"
"Unemployment rate","3.2%","3.8%","3.7%","4.0%","3.7%","4.0%","3.9%","3.0%","3.5%"
"Unemployment rate - monthly change","0.0 pts","0.1 pts","0.1 pts","0.0 pts","0.0 pts","0.0 pts","0.0 pts","0.0 pts","0.0 pts"
"Underemployment rate","5.7%","6.1%","6.5%","6.9%","5.8%","8.0%","5.0%","5.1%","6.1%"
"Underemployment rate - monthly change","0.0 pts","0.1 pts","-0.1 pts","0.1 pts","0.0 pts","0.3 pts","0.0 pts","0.2 pts","0.0 pts"
"Participation rate","66.3%","66.5%","66.4%","63.6%","68.9%","62.5%","74.5%","72.0%","66.5%"
"Participation rate - monthly change","0.0 pts","-0.1 pts","0.0 pts","0.0 pts","0.0 pts","-0.1 pts","0.1 pts","0.0 pts","-0.1 pts"

"Source: Australian Bureau of Statistics, Labour Force, Australia January 2023"
